,No.,Movie,Year,IMDB_rating,Number of votes,Meta favor,Meta score,Certificate,Runtime,Genre,Gross Exact Value,Gross Approximation,movie_url
0,1,Logan,2017,8.1,617168,,,R,137 min,"Action, Drama, Sci-Fi","226,277,068",$226.28M,/title/tt3315342/
1,2,Thor: Ragnarok,2017,7.9,553113,,,PG-13,130 min,"Action, Adventure, Comedy","315,058,289",$315.06M,/title/tt3501632/
2,3,Guardians of the Galaxy Vol. 2,2017,7.6,540751,,,PG-13,136 min,"Action, Adventure, Comedy","389,813,101",$389.81M,/title/tt3896198/
3,4,Star Wars: Episode VIII - The Last Jedi,2017,7.0,540177,,,PG-13,152 min,"Action, Adventure, Fantasy","620,181,382",$620.18M,/title/tt2527336/
4,5,Wonder Woman,2017,7.4,528410,,,PG-13,141 min,"Action, Adventure, Fantasy","412,563,408",$412.56M,/title/tt0451279/
5,6,Dunkirk,2017,7.9,518911,,,PG-13,106 min,"Action, Drama, History","188,373,161",$188.37M,/title/tt5013056/
6,7,Spider-Man: Homecoming,2017,7.4,485607,,,PG-13,133 min,"Action, Adventure, Sci-Fi","334,201,140",$334.20M,/title/tt2250912/
7,8,Get Out,2017,7.7,461317,,,R,104 min,"Horror, Mystery, Thriller","176,040,665",$176.04M,/title/tt5052448/
8,9,It,2017,7.3,434848,,,R,135 min,Horror,"327,481,748",$327.48M,/title/tt1396484/
9,10,Blade Runner 2049,2017,8.0,431443,,,R,164 min,"Action, Drama, Mystery","92,054,159",$92.05M,/title/tt1856101/
10,11,Baby Driver,2017,7.6,412325,,,R,113 min,"Action, Crime, Drama","107,825,862",$107.83M,/title/tt3890160/
11,12,"Three Billboards Outside Ebbing, Missouri",2017,8.2,400481,,,R,115 min,"Comedy, Crime, Drama","54,513,740",$54.51M,/title/tt5027774/
12,13,Justice League,2017,6.4,364009,,,PG-13,120 min,"Action, Adventure, Fantasy","229,024,295",$229.02M,/title/tt0974015/
13,14,The Shape of Water,2017,7.3,351057,,,R,123 min,"Adventure, Drama, Fantasy","63,859,435",$63.86M,/title/tt5580390/
14,15,John Wick: Chapter 2,2017,7.5,344708,,,R,122 min,"Action, Crime, Thriller","92,029,184",$92.03M,/title/tt4425200/
15,16,Coco,2017,8.4,340533,,,PG,105 min,"Animation, Adventure, Family","209,726,015",$209.73M,/title/tt2380307/
16,17,Jumanji: Welcome to the Jungle,2017,6.9,301907,,,PG-13,119 min,"Action, Adventure, Comedy","404,515,480",$404.52M,/title/tt2283362/
17,18,Beauty and the Beast,2017,7.1,259923,,,PG,129 min,"Family, Fantasy, Musical","504,014,165",$504.01M,/title/tt2771200/
18,19,Kong: Skull Island,2017,6.6,258507,,,PG-13,118 min,"Action, Adventure, Fantasy","168,052,812",$168.05M,/title/tt3731562/
19,20,Kingsman: The Golden Circle,2017,6.7,257103,,,R,141 min,"Action, Adventure, Comedy","100,234,838",$100.23M,/title/tt4649466/
20,21,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,250014,,,PG-13,129 min,"Action, Adventure, Fantasy","172,558,876",$172.56M,/title/tt1790809/
21,23,Alien: Covenant,2017,6.4,244621,,,R,122 min,"Horror, Sci-Fi, Thriller","74,262,031",$74.26M,/title/tt2316204/
22,25,The Greatest Showman,2017,7.6,221072,,,PG,105 min,"Biography, Drama, Musical","174,340,174",$174.34M,/title/tt1485796/
23,26,Lady Bird,2017,7.4,219522,,,R,94 min,"Comedy, Drama","48,958,273",$48.96M,/title/tt4925292/
24,27,War for the Planet of the Apes,2017,7.4,218598,,,PG-13,140 min,"Action, Adventure, Drama","146,880,162",$146.88M,/title/tt3450958/
25,28,Murder on the Orient Express,2017,6.5,198991,,,PG-13,114 min,"Crime, Drama, Mystery","102,826,543",$102.83M,/title/tt3402236/
